2025-07-01 15:37:24.314 [info] 2025/07/01 15:37:24 maxprocs: Leaving GOMAXPROCS=12: CPU quota undefined
2025-07-01 15:37:25.614 [info] I0701 15:37:25.614374 34598 main.go:602] Setting GOMAXPROCS to 4
2025-07-01 15:37:25.630 [info] I0701 15:37:25.630426 34598 main.go:817] Starting language server process with pid 34598
2025-07-01 15:37:25.631 [info] I0701 15:37:25.631070 34598 server.go:292] Language server will attempt to listen on host 127.0.0.1
2025-07-01 15:37:25.631 [info] I0701 15:37:25.631372 34598 server.go:299] Language server listening on random port at 37235
2025-07-01 15:37:27.848 [info] I0701 15:37:27.848529 34598 server.go:420] Created extension server client at port 34331
2025-07-01 15:37:28.274 [info] I0701 15:37:28.274271 34598 server.go:948] Local search is enabled, will index local files.
2025-07-01 15:37:28.274 [info] I0701 15:37:28.274291 34598 server.go:952] Using 3 indexer workers
2025-07-01 15:37:44.683 [info] (Windsurf) 2025-07-01 15:37:44.680 [INFO]: Language server started
2025-07-01 15:37:44.735 [info] (Windsurf) 2025-07-01 15:37:44.735 [INFO]: LS lspClient started successfully
2025-07-01 15:37:46.619 [info] E0701 15:37:46.619605 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:37:47.705 [info] E0701 15:37:47.704938 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:37:48.722 [info] E0701 15:37:48.721814 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:37:49.671 [info] BEWARE: your OS is not officially supported by Playwright; downloading fallback build for ubuntu20.04-x64.

2025-07-01 15:37:49.671 [info] BEWARE: your OS is not officially supported by Playwright; downloading fallback build for ubuntu20.04-x64.

2025-07-01 15:37:49.671 [info] BEWARE: your OS is not officially supported by Playwright; downloading fallback build for ubuntu20.04-x64.

2025-07-01 15:37:49.727 [info] E0701 15:37:49.727220 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:37:50.733 [info] E0701 15:37:50.733050 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:37:51.739 [info] E0701 15:37:51.739501 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:37:52.744 [info] E0701 15:37:52.744160 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:37:53.752 [info] E0701 15:37:53.752333 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:37:54.760 [info] E0701 15:37:54.759870 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:37:55.765 [info] E0701 15:37:55.765449 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:37:56.774 [info] E0701 15:37:56.774265 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:37:57.779 [info] E0701 15:37:57.779338 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:37:58.785 [info] E0701 15:37:58.784792 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:37:59.791 [info] E0701 15:37:59.791031 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:38:00.796 [info] E0701 15:38:00.796226 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:38:01.805 [info] E0701 15:38:01.805545 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:38:02.810 [info] E0701 15:38:02.810303 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:38:03.816 [info] E0701 15:38:03.815852 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:38:04.822 [info] E0701 15:38:04.822303 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:38:05.827 [info] E0701 15:38:05.827129 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:38:06.834 [info] E0701 15:38:06.833839 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:38:07.839 [info] E0701 15:38:07.838783 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:38:08.846 [info] E0701 15:38:08.846242 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:38:09.852 [info] E0701 15:38:09.852532 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:38:10.859 [info] E0701 15:38:10.858984 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:38:11.865 [info] E0701 15:38:11.865582 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:38:12.870 [info] E0701 15:38:12.870278 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:38:13.875 [info] E0701 15:38:13.875411 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:38:14.886 [info] E0701 15:38:14.886343 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:38:15.916 [info] E0701 15:38:15.916031 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:38:16.940 [info] E0701 15:38:16.940218 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:38:17.957 [info] E0701 15:38:17.956814 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:38:18.962 [info] E0701 15:38:18.962318 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:38:19.970 [info] E0701 15:38:19.970519 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:38:20.977 [info] E0701 15:38:20.976771 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
2025-07-01 15:38:21.985 [info] E0701 15:38:21.984831 34598 interceptor.go:73] /exa.language_server_pb.LanguageServerService/StreamCascadePanelReactiveUpdates (unknown): reactive component sk-ws-01-lYjcvRN3nzWUvEAm17Vcb2SUYOp2-u20xEzDsZTlwrhSJ0tonBg-cFbq8QXMea6nv-l1IUnL4F0QfNLWqy_MLihUYmsxyA not found
